,isFork,hasWiki,isArchived
commits,0.05605836366259738,-0.05260477147239725,0.0014253961452883352
branches,0.006533628616109505,-0.01617958911967836,1.5063801790233905e-05
releases,-0.0026223144347149456,-0.06313683220049507,0.015697521818609648
contributors,0.07500250690764211,-0.09715584340382855,0.014374853682792526
watchers,-0.009556795262072156,-0.05119083038269607,0.03154423160932906
stargazers,-0.009255264645284166,-0.06159246438306798,-0.014150132548925153
forks,-0.0056025397589184785,-0.03338173106976154,-0.005348784156720446
size,0.007912983880783275,0.0031700131732892555,-0.004972630180215303
totalIssues,-0.0008893397067809474,-0.058218687104260446,0.00047064986486835257
openIssues,0.0019592144377541063,-0.029707441413137563,-0.005651031126666033
totalPullRequests,0.001324736005753438,-0.08478071770007813,-0.007112411979948925
openPullRequests,-0.005922002207226987,-0.018092496726075283,-0.013118248635753752
