Metric,Mean,Median,StdDev
commits,403.26189086163674,107.0,1407.357440778647
branches,9.859782272742883,3.0,39.17138619105233
releases,17.779971839692298,7.0,59.019702215184616
contributors,11.350801881932759,5.0,29.640616049243974
watchers,20.072478450496238,7.0,79.57310904116926
stargazers,411.7761427246815,50.0,2032.1438781148925
forks,74.05650949551838,14.0,469.134762075908
size,17389.014784161544,838.0,225132.82693979618
totalIssues,81.21314262165596,15.0,382.87523798762913
openIssues,16.11367148597136,4.0,71.5781830916759
totalPullRequests,87.50820769944023,15.0,412.3616158961493
openPullRequests,3.5861808441223944,1.0,13.928422154051924
